discomfort,Glare_diagram,describe,Experiment,participant,ev,edir,eindir,log_gc,dgp,cgi,dgi,dgi_mod,av_lum,med_lum,ugr,ugp,ugr_exp,av_lum_cie,,,,,,,,,,
No,0,Imperceptible,1,8,285.236626,203.70465,82.23704536,0.627149024,0.23431567,24.76592197,17.1573329,16.43746232,64.096739,7.659347,24.65214007,0.600134749,15.22928807,90.79363796,,,,,,,,,,
No,0,Imperceptible,1,8,841.076547,672.498863,168.5776796,0.367287212,0.243088159,26.71608473,17.34033342,16.41976952,223.731171,29.78054,26.09170802,0.624418209,18.95548482,267.7229799,,,,,,,,,,
No,0,Imperceptible,1,8,545.229342,409.013137,137.9117372,0.625585009,0.249433666,27.5973369,18.81119867,18.0856519,120.753427,14.939541,27.04883867,0.640027264,18.08242833,173.5518898,,,,,,,,,,
No,0,Imperceptible,1,9,695.957108,559.052372,139.3856091,0.656699501,0.261137696,29.188563,19.81785979,18.94995863,155.056494,19.515259,28.92037892,0.669268432,20.07703909,221.5300278,,,,,,,,,,
Yes,1,Noticeable,1,9,817.359584,641.165472,176.1941097,0.36736879,0.241703463,26.53665799,17.23931726,16.3738493,218.198913,32.241983,25.75348232,0.618798815,18.60159104,260.1736362,,,,,,,,,,
Yes,1,Disturbing,1,9,449.845763,339.510999,113.2874518,0.642077764,0.245348685,26.91160426,18.50643685,17.74441798,101.154579,13.284892,26.65468686,0.633652216,17.54339881,143.1903536,,,,,,,,,,
Yes,1,Noticeable,1,9,1210.31727,965.597496,244.7197696,0.359189072,0.264019181,28.47710863,18.15896686,17.30147012,319.846562,47.662001,27.04707144,0.639998847,20.21382869,385.2559525,,,,,,,,,,
Yes,1,Disturbing,1,10,449.488355,339.889556,109.6172297,0.656078759,0.246612996,27.05517579,18.58844226,17.81136469,98.901194,11.93042,26.90835444,0.637763601,17.62552983,143.0765871,,,,,,,,,,
No,1,Noticeable,1,10,870.339529,688.52757,181.8119559,0.352718586,0.243468497,26.6597831,16.92798381,16.09577673,245.31699,36.290286,25.8444783,0.620315911,18.41967924,277.0376764,,,,,,,,,,
Yes,1,Disturbing,1,10,367.405276,275.917002,92.08169926,0.624047173,0.23885422,25.83798917,17.61868211,16.85109783,85.861427,11.235841,25.87148265,0.620765388,16.39527367,116.9487316,,,,,,,,,,
Yes,1,Noticeable,1,10,683.343993,515.738249,167.6057399,0.337922738,0.2311336,25.1669877,16.14645557,15.39207813,192.119595,28.777969,24.33977631,0.594741358,16.94495679,217.5151486,,,,,,,,,,
No,0,Imperceptible,1,11,759.797546,594.777083,165.0204605,0.345519431,0.2363188,25.85947768,16.51817329,15.6863049,216.199433,34.233392,25.19439195,0.609393396,17.77136761,241.8510704,,,,,,,,,,
No,1,Noticeable,1,11,659.418089,527.849103,133.8598193,0.630318783,0.256571106,28.64851673,19.25066797,18.41167127,153.489339,20.690166,28.43740593,0.661886779,19.41673887,209.8992969,,,,,,,,,,
No,0,Imperceptible,1,11,417.469303,313.57643,106.3897938,0.62098279,0.241511668,26.35659576,17.93964271,17.19990189,98.181817,13.940674,26.16744465,0.62566917,16.85373174,132.8846063,,,,,,,,,,
No,0,Imperceptible,1,11,1125.754449,897.574525,228.179922,0.345369793,0.257786733,27.89408048,17.57541926,16.74372331,312.581017,46.591243,26.62064976,0.633098211,19.53225417,358.3387705,,,,,,,,,,
No,1,Noticeable,1,12,673.355499,540.270565,135.3281343,0.622775061,0.256696718,28.67445108,19.20306408,18.36454886,157.832976,20.507302,28.45637025,0.662178796,19.43482454,214.3357122,,,,,,,,,,
No,0,Noticeable,1,12,787.745325,602.520813,185.224511,0.329712873,0.236508292,25.75912527,16.33687073,15.57892306,223.416542,32.25792,24.79376903,0.602565804,17.44063734,250.7471247,,,,,,,,,,
No,0,Noticeable,1,12,1217.398099,997.460996,219.9370992,0.372989525,0.265701707,28.76332249,18.34908892,17.41594204,323.699236,46.341967,27.64979047,0.649603032,20.69080456,387.5098503,,,,,,,,,,
No,0,Noticeable,1,12,456.678353,329.300447,130.3601649,0.608792811,0.242694199,26.5656665,18.20791947,17.55345445,102.306081,13.57619,25.91593462,0.621504531,16.96082113,145.3652346,,,,,,,,,,
Yes,1,Noticeable,1,13,813.456586,526.671708,286.7848721,0.266333987,0.232199362,24.58460824,15.35774556,15.03500035,238.486385,53.253063,22.45961973,0.561389155,15.5323019,258.9312733,,,,,,,,,,
No,0,Imperceptible,1,13,536.273796,351.889587,184.4187634,0.528090157,0.239957948,26.25929824,17.54870375,17.13611603,129.223833,25.303731,24.86912265,0.603855566,15.98489618,170.701251,,,,,,,,,,
Yes,1,Noticeable,1,13,694.859954,456.725957,238.1339923,0.275341252,0.226064606,24.01844106,15.19947849,14.79834845,200.982078,43.852515,22.23698685,0.557343173,15.27123293,221.1807929,,,,,,,,,,
Yes,1,Noticeable,1,13,463.13393,289.682586,173.8298943,0.504268953,0.233477852,25.27854314,16.99060094,16.64634629,110.163498,21.6942,23.84781884,0.586159805,15.10749929,147.4201085,,,,,,,,,,
Yes,1,Disturbing,1,14,1443.681102,1030.818945,412.8621501,0.28768525,0.271153587,28.06889001,17.35370732,16.8760742,417.668276,89.382308,25.28306812,0.610894774,18.87133049,459.5379673,,,,,,,,,,
Yes,1,Disturbing,1,14,534.267225,355.857852,181.4752667,0.609907366,0.247350982,27.16131823,18.64988187,18.20214624,121.677544,24.766591,25.79787295,0.619539383,17.12861684,170.0625396,,,,,,,,,,
Yes,1,Noticeable,1,14,809.046447,572.68617,239.7443494,0.611833007,0.263657296,29.22058602,19.84611159,19.31384997,182.709515,37.887996,27.54684429,0.647975077,19.31687509,257.5274825,,,,,,,,,,
Yes,1,Noticeable,1,14,940.25854,629.72454,310.5339962,0.330121228,0.245498305,26.38490575,17.02459788,16.62544939,250.730097,55.430712,24.15446944,0.591521358,17.52580574,299.2935889,,,,,,,,,,
Yes,1,Noticeable,1,15,470.153508,312.43056,158.0018767,0.552519649,0.238319315,25.971372,17.68794703,17.20380137,109.741033,21.413957,24.82594059,0.60311677,16.11695674,149.6545096,,,,,,,,,,
Yes,1,Noticeable,1,15,349.288942,220.512449,129.7323781,0.538850354,0.229969723,24.50311881,16.77155346,16.34608011,81.743908,16.115531,23.42731768,0.578741707,14.55247577,111.1821234,,,,,,,,,,
No,0,Noticeable,1,15,683.095507,455.224883,227.8706196,0.293482286,0.22703938,24.26348436,15.67135357,15.21161081,188.978454,43.771765,22.58122323,0.563590751,15.86199018,217.4360531,,,,,,,,,,
No,0,Noticeable,1,15,1163.5072,791.45269,372.0545046,0.303821603,0.256188696,27.08738378,17.1091474,16.71883796,317.123454,68.398341,24.50429496,0.597587412,17.99187288,370.3558444,,,,,,,,,,
No,0,Noticeable,1,16,1515.437267,1082.330986,433.1062747,0.305857684,0.277033903,28.62422121,17.91877927,17.4347257,419.019125,95.737243,25.72562957,0.618333679,19.49582645,482.378664,,,,,,,,,,
